time,flux,flux_err
100.00,1.0001,0.0020
100.25,0.9998,0.0021
100.50,1.0003,0.0019
100.75,1.0002,0.0020
101.00,1.0000,0.0021
101.25,1.0011,0.0020
101.50,1.0035,0.0021
101.75,1.0089,0.0022
102.00,1.0210,0.0023
102.25,1.0480,0.0025
102.50,1.0980,0.0028
102.75,1.1620,0.0031
103.00,1.2010,0.0033
103.25,1.1620,0.0031
103.50,1.0980,0.0028
103.75,1.0480,0.0025
104.00,1.0210,0.0023
104.25,1.0089,0.0022
104.50,1.0035,0.0021
104.75,1.0011,0.0020
105.00,1.0000,0.0020
105.25,1.0002,0.0020
105.50,0.9999,0.0021
105.75,1.0001,0.0020
106.00,1.0000,0.0020
